seller_id,total_price,total_freight,total_orders,avg_review_score,total_revenue
154bdf805377afea75a3bd158e9eab10,89.9,19.82,1,1.0,109.72
1554a68530182680ad5c8b042c3ab563,9149.77,2121.01,59,4.109375,11270.78
157c3e4b42f81ac4a44e8b1ca2fe9876,1573.5,399.52,14,3.533333333333333,1973.02
15aac934c58d886785ac1b17953ea898,741.9,196.32,7,4.428571428571429,938.22
15cd6eefe58588619aaed41dfa6621b1,836.86,247.04,7,3.857142857142857,1083.9
15ead3a5037a918ddb520dfe39a3d2b9,144.5,120.21000000000001,5,4.833333333333333,264.71000000000004
15fa791d5e017f66402dc28c44480657,823.0,103.09,7,4.714285714285714,926.09
160851d3ece7aa1a510f8d1a4bb8a8af,102.05,39.099999999999994,2,5.0,141.14999999999998
16090f2ca825584b5a147ab24aa30c86,13198.58,3791.07,277,4.078014184397163,16989.65
164a5a8794e6d42e14f55e447b12a3bc,73.99,62.77,1,5.0,136.76
165b1235e9e9942cb5fae67103576fb0,2085.15,404.65,11,4.3125,2489.8
165fc07beebdcb6190fba8a06db2a449,1446.4,206.56,8,4.555555555555555,1652.96
1660ad786c27fd935378b6192a90b417,830.0,129.06,6,4.285714285714286,959.06
167fd940acebc789debd6eb418c46e38,749.6999999999999,56.370000000000005,3,3.0,806.0699999999999
1690cada046eb7e92c12f98b1f8a8167,1760.0,232.91,10,4.9,1992.91
16bdc8cefd0e32a6f0824d296c5ad14a,41.76,19.32,1,5.0,61.08
1703bc09972dab9782e7a9194943b69f,249.9,106.21,1,5.0,356.11
1710c3aaa9c6b44ec3883ee0fe300e21,1188.9,37.650000000000006,2,5.0,1226.5500000000002
17306570e772e7718c92a562d33f5f1d,751.6999999999999,168.77,3,4.333333333333333,920.4699999999999
173d56ffbd4c56cb80fc3615487d712b,358.0,39.61,2,5.0,397.61
1771297ac436903d1dd6b0e9279aa505,101.59,48.54,2,5.0,150.13
1782ce2db72c3dda627d5e7c898104e1,412.0,42.099999999999994,2,4.0,454.1
17908cf9b444ee34047cadd5c0f4a516,909.0,313.06,6,4.333333333333333,1222.06
179d859f51292aac5c10806a356f7af9,404.46999999999997,395.8,18,4.315789473684211,800.27
17a053fcb14bd219540cbde0df490be0,23439.78,5188.51,72,4.183908045977011,28628.29
17ca9b9e9b9ef8fdb529001b49ebb50f,5336.78,1315.63,60,4.1875,6652.41
17e34d8224d27a541263c4c64b11a56b,18574.27,1847.17,65,3.942857142857143,20421.440000000002
17f51e7198701186712e53a39c564617,10960.0,2668.79,13,4.357142857142857,13628.79
1835b56ce799e6a4dc4eddc053f04066,16088.92,4170.34,180,3.8326693227091635,20259.260000000002
1838dd9b8977065acf51d95e0053ea7a,1318.9,562.4,28,4.225806451612903,1881.3000000000002
184725737946a1a938bbbd1a9e978103,359.70000000000005,43.870000000000005,3,4.666666666666667,403.57000000000005
186cdd1b2df32caa72cfb410bba768d3,1341.4499999999998,268.28000000000003,6,5.0,1609.7299999999998
189ca3538ce9f920cacf0f982cbe223b,419.0,62.67,4,3.8,481.67
18a349e75d307f4b4cc646a691ed4216,5938.1,1655.04,91,3.4299065420560746,7593.14
18e694e0e48ed6f7aa3f24aade5fd697,701.54,504.23,31,4.676470588235294,1205.77
1900267e848ceeba8fa32d80c1a5f5a8,10122.45,3763.43,178,3.97787610619469,13885.880000000001
1927cdb9fa74f5270097f6250e8e8f34,120.0,58.92,1,5.0,178.92000000000002
19484c79cef6c062cb177aa4ef2fcc3c,201.9,10.16,1,1.0,212.06
1961c3e1272bfeceb05d0b78b5bbfdaf,657.0,39.01,2,4.666666666666667,696.01
1987cd4be10fe09ee50454f9c354d1c6,120.0,12.97,1,1.0,132.97
1996942dc085d7773ba77a529b163cd0,2383.52,185.28,9,4.222222222222222,2568.8
19d62d484cba71963c93f0f00ab42013,139.9,22.69,1,4.0,162.59
1a3df491d1c4f1589fc2b934ada68bf2,3181.8,693.84,24,4.4,3875.6400000000003
1a932caad4f9d804097d7f8e615baed1,4661.0,1040.45,20,3.566666666666667,5701.45
1b0b0f4f95e962d6f32fe90c759d0479,69.9,15.59,1,5.0,85.49000000000001
1b1ae47a313a825a7ccceb8e2e30fa9d,544.8,44.97,2,1.0,589.77
1b45169b635ef59425637e9a33eb5fb3,275.9,85.49000000000001,5,5.0,361.39
1b4b28463457a256e9a784ebe2a8f630,699.42,15.92,1,1.0,715.3399999999999
1b4c3a6f53068f0b6944d2d005c9fc89,4082.54,1029.2,32,4.34375,5111.74
1b65c144b17e607c0f37f10bb7dfec8d,1109.5,144.85,5,2.0,1254.35
1b7e5006cb25dd23ce8686691013b121,605.98,27.28,2,3.5,633.26
1b938a7ec6ac5061a66a3766e0e75f90,1929.0,280.16,9,4.111111111111111,2209.16
1bb2bdb95f4841f1bba2c0d2cd83d3c9,2230.88,573.48,41,4.5476190476190474,2804.36
1bb3812d5f0747a3ab7348f199001a10,290.9,111.38,4,5.0,402.28
1c129092bf23f28a5930387c980c0dfc,2762.9,841.63,57,4.180327868852459,3604.53
1c40343cc5d18c2d8248ac2f3366de34,2461.41,378.01,21,4.545454545454546,2839.42
1c56ffe0e9dea2657fc6e95b53f40b13,183.0,84.39,3,4.333333333333333,267.39
1c5e4e49b9079480255b49d50aac1aa9,3080.1,389.48,4,3.5,3469.58
